epoch,train_loss,val_rouge1,val_rouge2,val_rougeL,lr,time of epoch
1,26.508552355861877,0.14346779630849898,0.008641742163692121,0.11112670523710147,0.001,183.8383560180664
2,8.210666437722526,0.14731492404286978,0.01613497482523573,0.10603446567286687,0.0009938441702975688,193.36700224876404
3,7.233456812350947,0.1738118139422059,0.019541274892977346,0.13056323055403005,0.0009755282581475768,191.1167643070221
4,6.7477021164246285,0.21571953052323706,0.03535041539177183,0.15521584789246742,0.0009455032620941839,193.67781686782837
5,6.396698111680674,0.2190246570114741,0.03888385750272877,0.16023222129665365,0.0009045084971874737,191.1778106689453
6,6.109975935887122,0.24001374175876472,0.043580500637660044,0.1645486458222818,0.0008535533905932737,190.93551111221313
7,5.860634778284018,0.2552197221101715,0.049459421674938435,0.18318203235653896,0.0007938926261462366,190.72499299049377
8,5.627492862183161,0.24922299184179683,0.05309219107444183,0.17595661953281574,0.0007269952498697733,188.77322030067444
9,5.404278797667914,0.25434412002178997,0.04792442607167198,0.1769656979577423,0.0006545084971874737,191.75738549232483
10,5.192631435819086,0.2593668498754236,0.0541333837566615,0.18101902213438187,0.0005782172325201155,193.9778037071228
11,4.989631181304864,0.258324364798969,0.05431252820798387,0.1775509231840781,0.0005,192.9774968624115
12,4.797216937908351,0.2591986964638642,0.05257351043156884,0.17738703465839623,0.0004217827674798847,192.36509776115417
13,4.6124276700688895,0.26383201591086936,0.0564383043580952,0.18374742924047205,0.00034549150281252633,191.11618900299072
14,4.436177987563849,0.2673293325890592,0.052239988177652026,0.1768446541487554,0.00027300475013022663,190.08178043365479
15,4.280392414211962,0.2551208573211422,0.052118792897430544,0.1747673072371535,0.00020610737385376348,190.27757906913757
16,4.141968431345338,0.2634402456090176,0.052954987766135816,0.17559957325670744,0.00014644660940672625,190.7637598514557
17,4.030137634489743,0.2541882233350343,0.05072659242198617,0.16643834656603596,9.549150281252631e-05,193.99347829818726
18,3.9444142349047757,0.2648032788377282,0.05502389753541707,0.17908009875117117,5.4496737905816096e-05,193.69868922233582
19,3.884646487395323,0.2630265015100922,0.05008069989598184,0.17363615586631492,2.447174185242323e-05,194.89907503128052
20,3.8536977061715585,0.26299376752310333,0.049680148498626675,0.17379024304338983,6.15582970243117e-06,192.0902624130249
